id,hotel_name,n_comment,rank_in_country,url,excellent,good,average,poor,terrible
183,b'Broadway Hotel Singapore',214,b'#183 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d309914-Reviews-Broadway_Hotel_Singapore-Singapore.html,12,83,77,26,16
184,b'Park 22 Hotel Little India',56,b'#184 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d10961802-Reviews-Park_22_Hotel_Little_India-Singapore.html,10,24,17,2,3
185,b'Santa Grand Hotel West Coast',209,b'#185 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d620229-Reviews-Santa_Grand_Hotel_West_Coast-Singapore.html,21,76,71,28,14
186,b'Fragrance Hotel - Royal',122,b'#186 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1535340-Reviews-Fragrance_Hotel_Royal-Singapore.html,21,43,38,10,10
187,b'Jayleen Clarke Quay Hotel',72,b'#187 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d9001799-Reviews-Jayleen_Clarke_Quay_Hotel-Singapore.html,15,31,19,3,4
188,b'Hotel 81 Hollywood',232,b'#188 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d506323-Reviews-Hotel_81_Hollywood-Singapore.html,28,85,75,22,22
189,b'Aqueen Hotel Lavender',879,b'#189 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1574780-Reviews-Aqueen_Hotel_Lavender-Singapore.html,146,391,244,65,33
190,b'South East Asia Hotel',204,b'#190 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d579210-Reviews-South_East_Asia_Hotel-Singapore.html,19,80,74,18,13
191,b'Fragrance Hotel - Rose',91,b'#191 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d598441-Reviews-Fragrance_Hotel_Rose-Singapore.html,19,43,25,1,3
192,b'Fragrance Hotel - Crystal',596,b'#192 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d504988-Reviews-Fragrance_Hotel_Crystal-Singapore.html,57,196,234,60,49
193,b'Klapstar Boutique Hotel',236,b'#193 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1581565-Reviews-Klapstar_Boutique_Hotel-Singapore.html,87,75,42,18,14
194,b'Hotel 81 Rochor',232,b'#194 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1072358-Reviews-Hotel_81_Rochor-Singapore.html,39,78,69,25,21
195,b'VIP Hotel',111,b'#195 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1768864-Reviews-VIP_Hotel-Singapore.html,21,36,37,10,7
196,b'Hotel 81 - Sakura',169,b'#196 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d584854-Reviews-Hotel_81_Sakura-Singapore.html,31,68,41,16,13
197,b'Parc Sovereign Hotel - Albert St.',1121,b'#197 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2093622-Reviews-Parc_Sovereign_Hotel_Albert_St-Singapore.html,214,372,324,107,104
198,b'Six Senses Maxwell',33,b'#198 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d14758770-Reviews-Six_Senses_Maxwell-Singapore.html,25,4,2,1,1
199,b'Parc Sovereign Hotel - Tyrwhitt',1143,b'#199 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d6741981-Reviews-Parc_Sovereign_Hotel_Tyrwhitt-Singapore.html,237,476,268,86,76
200,b'The Seacare Hotel',250,b'#200 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3315718-Reviews-The_Seacare_Hotel-Singapore.html,42,114,69,15,10
201,b'XY Hotel Bugis Singapore',155,b'#201 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12433284-Reviews-XY_Hotel_Bugis_Singapore-Singapore.html,45,63,28,6,13
202,b'The Quay Hotel',55,b'#202 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12456473-Reviews-The_Quay_Hotel-Singapore.html,11,23,18,1,2
203,b'Hotel Royal at Queens',842,b'#203 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d583028-Reviews-Hotel_Royal_at_Queens-Singapore.html,100,397,242,59,44
204,b'Fragrance Hotel - Balestier',183,b'#204 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d779576-Reviews-Fragrance_Hotel_Balestier-Singapore.html,43,72,42,14,12
205,b'Hotel 81-Tristar',293,b'#205 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1174552-Reviews-Hotel_81_Tristar-Singapore.html,36,116,99,27,15
206,b'Fragrance Hotel - Selegie',118,b'#206 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d607470-Reviews-Fragrance_Hotel_Selegie-Singapore.html,36,38,25,13,6
207,b'The Inn at Temple Street',387,b'#207 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306180-Reviews-The_Inn_at_Temple_Street-Singapore.html,42,141,110,46,48
208,b'Hotel Classic by Venue',121,b'#208 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d14911702-Reviews-Hotel_Classic_by_Venue-Singapore.html,36,28,32,12,13
209,b'Classique Hotel',73,b'#209 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d640516-Reviews-Classique_Hotel-Singapore.html,10,26,19,4,2
210,b'Fragrance Hotel - Imperial',382,b'#210 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1015609-Reviews-Fragrance_Hotel_Imperial-Singapore.html,76,123,114,42,27
211,b'Raintr33 Hotel Singapore',153,b'#211 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d7388695-Reviews-Raintr33_Hotel_Singapore-Singapore.html,27,47,47,14,18
212,b'YOTELAIR Singapore Changi Airport',5,b'#212 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d16645618-Reviews-YOTELAIR_Singapore_Changi_Airport-Singapore.html,2,3,0,0,0
213,b'M Hotel Singapore',2034,b'#213 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301680-Reviews-M_Hotel_Singapore-Singapore.html,644,668,288,92,52
214,b'Costa Sands Resort (Sentosa)',183,b'#214 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d1792789-Reviews-Costa_Sands_Resort_Sentosa-Sentosa_Island.html,21,46,52,27,37
215,b'Value Hotel Thomson',1445,b'#215 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1511494-Reviews-Value_Hotel_Thomson-Singapore.html,137,666,412,140,90
216,b'Harbour Ville Hotel',339,b'#216 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d559392-Reviews-Harbour_Ville_Hotel-Singapore.html,28,98,129,54,30
217,b'Penta Hotel',80,b'#217 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d652477-Reviews-Penta_Hotel-Singapore.html,7,22,42,6,3
218,b'Holiday Inn Express Singapore Serangoon',13,b'#218 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1222995-Reviews-Holiday_Inn_Express_Singapore_Serangoon-Singapore.html,3,6,3,0,1
219,b'Harbour Ville Hotel Hamilton @ Lavender',11,b'#219 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3556622-Reviews-Harbour_Ville_Hotel_Hamilton_Lavender-Singapore.html,7,1,1,0,2
220,b'Hotel 81 - Orchid',493,b'#220 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d506262-Reviews-Hotel_81_Orchid-Singapore.html,29,158,196,77,33
221,b'ABC Hostel',162,b'#221 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1462978-Reviews-ABC_Hostel-Singapore.html,23,47,60,12,20
222,b'Kam Leng Hotel',496,b'#222 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d3160374-Reviews-Kam_Leng_Hotel-Singapore.html,40,210,145,49,52
223,b'Hotel 81 - Gold',291,b'#223 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d505855-Reviews-Hotel_81_Gold-Singapore.html,26,93,100,40,32
224,b'Lemon Grass Hotel',162,b'#224 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1159908-Reviews-Lemon_Grass_Hotel-Singapore.html,23,60,51,19,9
225,b'RedDoorz Plus Victoria Hotel',38,b'#225 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d14030487-Reviews-RedDoorz_Plus_Victoria_Hotel-Singapore.html,16,16,4,1,1
226,b'Hotel 81 - Elegance',205,b'#226 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d779549-Reviews-Hotel_81_Elegance-Singapore.html,19,74,65,29,18
227,b'Fragrance Hotel - Riverside',1037,b'#227 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2439500-Reviews-Fragrance_Hotel_Riverside-Singapore.html,128,425,288,107,89
228,b'OYO 106 Beach Hotel',167,b'#228 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306158-Reviews-OYO_106_Beach_Hotel-Singapore.html,8,58,72,19,10
229,b'Aqueen Heritage Hotel Little India',32,b'#229 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d13484203-Reviews-Aqueen_Heritage_Hotel_Little_India-Singapore.html,9,14,5,0,4
230,b'Hotel 81 - Heritage',169,b'#230 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1383128-Reviews-Hotel_81_Heritage-Singapore.html,30,56,51,16,16
231,b'Park View Hotel',260,b'#231 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d562387-Reviews-Park_View_Hotel-Singapore.html,17,90,90,38,25
232,b'Hotel 81 - Osaka',117,b'#232 Best Value of 349 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1657875-Reviews-Hotel_81_Osaka-Singapore.html,14,42,45,10,6
