id,hotel_name,n_comment,rank_in_country,url
54,b'Sofitel Singapore Sentosa Resort & Spa',2488,b'#24 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d302969-Reviews-Sofitel_Singapore_Sentosa_Resort_Spa-Sentosa_Island.html
55,b'Marina Mandarin Singapore',7269,b'#25 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d300855-Reviews-Marina_Mandarin_Singapore-Singapore.html
56,b'Grand Hyatt Singapore',3915,b'#26 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306175-Reviews-Grand_Hyatt_Singapore-Singapore.html
57,b'Crowne Plaza Changi Airport',5765,b'#27 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d1086295-Reviews-Crowne_Plaza_Changi_Airport-Singapore.html
58,b'Park Avenue Changi Hotel',638,b'#28 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4328402-Reviews-Park_Avenue_Changi_Hotel-Singapore.html
59,b'Mandarin Orchard Singapore',11187,b'#29 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d300850-Reviews-Mandarin_Orchard_Singapore-Singapore.html
60,b'Resorts World Sentosa - Equarius Hotel',1488,b'#30 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d1447343-Reviews-Resorts_World_Sentosa_Equarius_Hotel-Sentosa_Island.html
61,b'Holiday Inn Express Singapore Katong',577,b'#31 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d8777586-Reviews-Holiday_Inn_Express_Singapore_Katong-Singapore.html
62,b'V Hotel Bencoolen',2024,b'#32 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4609397-Reviews-V_Hotel_Bencoolen-Singapore.html
63,b'Holiday Inn Singapore Orchard City Centre',4109,b'#33 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306178-Reviews-Holiday_Inn_Singapore_Orchard_City_Centre-Singapore.html
64,b'Pan Pacific Singapore',9729,b'#34 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d302294-Reviews-Pan_Pacific_Singapore-Singapore.html
65,b'Dorsett Singapore',1207,b'#35 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d4116146-Reviews-Dorsett_Singapore-Singapore.html
66,b'InterContinental Singapore',1827,b'#36 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d299199-Reviews-InterContinental_Singapore-Singapore.html
67,b'Village Hotel Albert Court by Far East Hospitality',2963,b'#37 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d306155-Reviews-Village_Hotel_Albert_Court_by_Far_East_Hospitality-Singapore.html
68,b'Swissotel The Stamford Singapore',9385,b'#38 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301573-Reviews-Swissotel_The_Stamford_Singapore-Singapore.html
69,b'Park Hotel Farrer Park',1053,b'#39 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d12145100-Reviews-Park_Hotel_Farrer_Park-Singapore.html
70,b'Village Hotel at Sentosa by Far East Hospitality',83,b'#40 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294264-d15294579-Reviews-Village_Hotel_at_Sentosa_by_Far_East_Hospitality-Sentosa_Island.html
71,"b'Shangri-La Hotel, Singapore'",6031,b'#41 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d302109-Reviews-Shangri_La_Hotel_Singapore-Singapore.html
72,"b'Oasia Hotel Novena, Singapore by Far East Hospitality'",4719,b'#42 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d2226820-Reviews-Oasia_Hotel_Novena_Singapore_by_Far_East_Hospitality-Singapore.html
73,"b'Mandarin Oriental, Singapore'",6627,b'#43 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d301468-Reviews-Mandarin_Oriental_Singapore-Singapore.html
74,b'Amara Singapore',2755,b'#44 Best Value of 348 hotels in Singapore',https://www.tripadvisor.com.sg/Hotel_Review-g294265-d305416-Reviews-Amara_Singapore-Singapore.html
